# V_cathode_V I_dark_A J_dark_Acm2 C_F
0.000000000000000000e+00 9.401808179758250830e-30 8.985366084805948502e-27 2.534224136667092177e-12
2.500000000000000000e-01 1.391472273973912972e-12 1.329838637362466965e-09 2.011939388960497290e-12
5.000000000000000000e-01 2.247525911919555772e-12 2.147974380839134249e-09 1.723580344552684282e-12
7.500000000000000000e-01 2.958848991819276120e-12 2.827790237030640439e-09 1.533290363759774091e-12
1.000000000000000000e+00 3.584486102063058299e-12 3.425715483355441365e-09 1.395342451683879810e-12
1.500000000000000000e+00 4.650573568729321176e-12 4.444581852810135345e-09 1.204357420079785382e-12
2.000000000000000000e+00 5.581453459644535560e-12 5.334229507913911068e-09 1.075262777923814663e-12
2.500000000000000000e+00 6.416825905329486204e-12 6.132600108347918456e-09 9.803861021691090926e-13
3.000000000000000000e+00 7.163373069303122867e-12 6.846079839014925198e-09 9.068205647090272140e-13
3.500000000000000000e+00 7.844673594659623812e-12 7.497202954595888514e-09 8.476193104176275198e-13
4.000000000000000000e+00 8.481679899039554256e-12 8.105993809902423562e-09 7.986671708927672007e-13
4.500000000000000000e+00 9.087469425825779820e-12 8.684950598260932652e-09 7.573559242409452500e-13
5.000000000000000000e+00 9.669728715746034741e-12 9.241419394069440438e-09 7.219550259776741103e-13
