# lambda_nm R_front EQE_barc R_barc_AW R_bare EQE_bare R_bare_AW
4.000000000000000000e+02 2.999999999999999889e-02 2.125129854407118990e-01 6.856131287153183207e-02 9.336419753086418194e-02 1.986308052475054264e-01 6.408261949855230399e-02
4.250000000000000000e+02 2.999999999999999889e-02 3.047809079880319794e-01 1.044745117252890154e-01 1.229549671108112752e-01 2.755737953300345100e-01 9.446273357949513949e-02
4.500000000000000000e+02 2.999999999999999889e-02 4.129542058294788376e-01 1.498815131455215333e-01 1.522903033908387660e-01 3.608920459139983716e-01 1.309855794182392119e-01
4.750000000000000000e+02 2.999999999999999889e-02 6.039973273508008056e-01 2.313994316969592291e-01 1.787593519195250780e-01 5.113682026292444283e-01 1.959119786097605620e-01
5.000000000000000000e+02 2.999999999999999889e-02 7.580270769969880140e-01 3.056950348428385533e-01 2.043535372490148105e-01 6.217748066774817506e-01 2.507476011868468024e-01
5.250000000000000000e+02 2.999999999999999889e-02 7.855934179148513774e-01 3.326525071160172931e-01 2.276474860096544262e-01 6.255206714375280974e-01 2.648711341789037887e-01
5.500000000000000000e+02 2.999999999999999889e-02 8.104772365834302938e-01 3.595316869999513609e-01 2.500000000000000000e-01 6.266576571439312904e-01 2.779884177798275235e-01
5.750000000000000000e+02 2.999999999999999889e-02 8.569638056320846298e-01 3.974330556614291132e-01 2.683988967919871405e-01 6.463460470098244537e-01 2.997551154314266886e-01
6.000000000000000000e+02 2.999999999999999889e-02 8.924574100635609408e-01 4.318892673004824934e-01 2.861005949161708473e-01 6.568297052525545743e-01 3.178613309093530348e-01
6.250000000000000000e+02 2.999999999999999889e-02 9.102081358052366289e-01 4.588327320897312989e-01 2.997686370057942584e-01 6.570683335362725863e-01 3.312258447122971572e-01
6.500000000000000000e+02 2.999999999999999889e-02 9.247775107472610001e-01 4.848241870681156973e-01 3.130082089697063807e-01 6.549634622666270500e-01 3.433713779394871879e-01
6.750000000000000000e+02 2.999999999999999889e-02 9.323456976456666601e-01 5.075915754041968597e-01 3.210701830786368838e-01 6.525745296853036059e-01 3.552773766512329900e-01
7.000000000000000000e+02 2.999999999999999889e-02 9.387359439524436411e-01 5.299991202481417751e-01 3.289719541191393204e-01 6.494001505688419273e-01 3.666435814115723280e-01
7.250000000000000000e+02 2.999999999999999889e-02 9.470590277621401265e-01 5.537945996250048797e-01 3.294931163032296939e-01 6.546490694446829295e-01 3.828073105059451864e-01
7.500000000000000000e+02 2.999999999999999889e-02 9.503356065395495156e-01 5.748730193868496485e-01 3.300135808057945153e-01 6.564040721972931314e-01 3.970691914784924004e-01
7.750000000000000000e+02 2.999999999999999889e-02 9.492917998451728678e-01 5.933829910376781092e-01 3.294931163032296939e-01 6.561924602060179579e-01 4.101725568438759906e-01
8.000000000000000000e+02 2.999999999999999889e-02 9.452688461438556455e-01 6.099285930577783565e-01 3.289719541191393204e-01 6.539194913600259174e-01 4.219373112372526435e-01
8.250000000000000000e+02 2.999999999999999889e-02 9.347108518701028324e-01 6.219634943357708057e-01 3.279275330557381296e-01 6.476220907684444583e-01 4.309325154163892724e-01
8.500000000000000000e+02 2.999999999999999889e-02 9.162733957294857401e-01 6.281706833780383858e-01 3.268803103320204184e-01 6.358367667273066015e-01 4.359113973335255743e-01
8.750000000000000000e+02 2.999999999999999889e-02 8.813511207793309765e-01 6.220004166933539302e-01 3.253042072728237755e-01 6.130349412790725427e-01 4.326402723423087848e-01
9.000000000000000000e+02 2.999999999999999889e-02 8.291598281737420084e-01 6.018862524309935846e-01 3.237217598097502091e-01 5.780853086283161968e-01 4.196315211773669063e-01
9.250000000000000000e+02 2.999999999999999889e-02 7.536409807460694443e-01 5.622635111460415613e-01 3.221329437545653596e-01 5.266684464187808556e-01 3.929277433932841790e-01
9.500000000000000000e+02 2.999999999999999889e-02 6.636061852794555849e-01 5.084727603606322699e-01 3.205377350944142445e-01 4.648405789767784402e-01 3.561732508873804437e-01
9.750000000000000000e+02 2.999999999999999889e-02 5.545629420788686925e-01 4.361030482146481257e-01 3.184008050085200270e-01 3.896800565547113848e-01 3.064407078030063070e-01
1.000000000000000000e+03 2.999999999999999889e-02 4.484188675945933178e-01 3.616742079889055939e-01 3.162524120297439123e-01 3.160879578293690484e-01 2.549421312622440206e-01
