# V_anode_V J_anode_Acm2 J_cathode_Acm2 KCL_Acm2
0.000000000000000000e+00 8.804907652467691686e-35 -4.000100046825843579e-27 -4.000099958776767258e-27
-1.000000000000000056e-01 -1.185867373309242414e-03 1.185867373309242414e-03 0.000000000000000000e+00
-2.000000000000000111e-01 -1.325820043614419274e-03 1.325820043614419274e-03 0.000000000000000000e+00
-3.000000000000000444e-01 -1.432307360121738921e-03 1.432307360121738921e-03 0.000000000000000000e+00
-4.000000000000000222e-01 -1.530896935988783998e-03 1.530896935988783998e-03 0.000000000000000000e+00
-5.000000000000000000e-01 -1.623482013639090168e-03 1.623482013639090168e-03 0.000000000000000000e+00
-6.000000000000000888e-01 -1.711058693405053538e-03 1.711058693405053538e-03 0.000000000000000000e+00
-7.000000000000000666e-01 -1.794373252335845510e-03 1.794373252335845510e-03 0.000000000000000000e+00
-8.000000000000000444e-01 -1.874012979730586576e-03 1.874012979730586576e-03 0.000000000000000000e+00
-9.000000000000000222e-01 -1.950458660555416321e-03 1.950458660555416321e-03 0.000000000000000000e+00
-1.000000000000000000e+00 -2.024121839498527371e-03 2.024121839498527371e-03 0.000000000000000000e+00
-1.100000000000000089e+00 -2.095372519999570606e-03 2.095372519999570606e-03 0.000000000000000000e+00
-1.200000000000000178e+00 -2.164558436333336236e-03 2.164558436333336236e-03 0.000000000000000000e+00
-1.300000000000000044e+00 -2.232014519333767443e-03 2.232014519333767443e-03 0.000000000000000000e+00
-1.400000000000000133e+00 -2.298061473963742499e-03 2.298061473963742499e-03 0.000000000000000000e+00
-1.500000000000000000e+00 -2.362995774076064211e-03 2.362995774076064211e-03 0.000000000000000000e+00
-1.600000000000000089e+00 -2.427077190538280173e-03 2.427077190538280173e-03 0.000000000000000000e+00
-1.700000000000000178e+00 -2.490520371165543586e-03 2.490520371165543586e-03 0.000000000000000000e+00
-1.800000000000000044e+00 -2.553493501523856294e-03 2.553493501523856294e-03 0.000000000000000000e+00
-1.900000000000000133e+00 -2.616122970168191682e-03 2.616122970168191682e-03 0.000000000000000000e+00
-2.000000000000000000e+00 -2.678501063514809530e-03 2.678501063514809530e-03 0.000000000000000000e+00
1.776356839400250465e-15 7.445784203768881831e-17 -7.445784204495827016e-17 -7.269451849224776413e-27
1.000000000000018652e-01 4.396918728254301661e-02 -4.396918728254301661e-02 0.000000000000000000e+00
2.000000000000019540e-01 1.747558084545286938e+00 -1.747558084545286938e+00 0.000000000000000000e+00
3.000000000000020428e-01 5.560951671882126846e+01 -5.560951671882126846e+01 0.000000000000000000e+00
4.000000000000021316e-01 7.003777231787629489e+02 -7.003777231787629489e+02 0.000000000000000000e+00
5.000000000000022204e-01 2.426685360802254309e+03 -2.426685360802254309e+03 0.000000000000000000e+00
6.000000000000023093e-01 4.703825747203515675e+03 -4.703825747203515675e+03 0.000000000000000000e+00
7.000000000000023981e-01 7.207057707052252226e+03 -7.207057707052252226e+03 0.000000000000000000e+00
8.000000000000024869e-01 9.816556487642374123e+03 -9.816556487642374123e+03 0.000000000000000000e+00
