# x_cm Potential_V
0.000000000000000000e+00 2.616107915602867706e+00
2.000000000000000042e-08 2.616018843973403563e+00
4.024489795918368055e-08 2.615926942638119090e+00
6.073769262807165351e-08 2.615832150732512407e+00
8.148141947657866541e-08 2.615734406554941494e+00
1.024791511436388339e-07 2.615633647569323816e+00
1.237339978923364553e-07 2.615529810408411482e+00
1.452491080706099905e-07 2.615422830877651261e+00
1.670276685775970791e-07 2.615312643959639249e+00
1.890729053356901299e-07 2.615199183819182593e+00
2.113880837683720646e-07 2.615082383808974509e+00
2.339765092839031798e-07 2.614962176475891908e+00
2.568415277649306221e-07 2.614838493567921862e+00
2.799865260640930828e-07 2.614711266041725324e+00
3.034149325056942724e-07 2.614580424070838571e+00
3.271302173935191572e-07 2.614445897054519907e+00
3.511358935248683969e-07 2.614307613627243843e+00
3.754355167108872428e-07 2.614165501668843206e+00
4.000326863032655010e-07 2.614019488315295625e+00
4.249310457273871740e-07 2.613869499970160160e+00
4.501342830220082917e-07 2.613715462316653859e+00
4.756461313855431346e-07 2.613557300330367816e+00
5.014703697290396347e-07 2.613394938292613379e+00
5.276108232359259052e-07 2.613228299804393640e+00
5.540713639286108016e-07 2.613057307800985551e+00
5.808559112420224774e-07 2.612881884567126445e+00
6.079684326041697419e-07 2.612701951752787632e+00
6.354129440238126725e-07 2.612517430389518225e+00
6.631935106853288770e-07 2.612328240907346277e+00
6.913142475508636040e-07 2.612134303152212400e+00
7.197793199698539109e-07 2.611935536403919400e+00
7.485929442960155097e-07 2.611731859394566868e+00
7.777593885118851456e-07 2.611523190327451616e+00
8.072829728610104146e-07 2.611309446896401543e+00
8.371680704878800837e-07 2.611090546305513627e+00
8.674191080856909496e-07 2.610866405289265391e+00
8.980405665520465253e-07 2.610636940132956330e+00
9.290369816526840103e-07 2.610402066693458867e+00
9.604129446933291781e-07 2.610161700420218445e+00
9.921731031997781763e-07 2.609915756376479656e+00
1.024322161606306297e-06 2.609664149260685129e+00
1.056864881952506098e-06 2.609406793428000526e+00
1.089806084588659283e-06 2.609143602911926152e+00
1.123150648889745024e-06 2.608874491445934307e+00
1.156903513978191156e-06 2.608599372485090662e+00
1.191069679455475382e-06 2.608318159227599686e+00
1.225654206142685536e-06 2.608030764636221743e+00
1.260662216830147139e-06 2.607737101459502771e+00
1.296098897036230658e-06 2.607437082252760607e+00
1.331969495775450090e-06 2.607130619398766669e+00
1.368279326335965941e-06 2.606817625128059923e+00
1.405033767066610547e-06 2.606498011538832760e+00
1.442238262173548817e-06 2.606171690616328807e+00
1.479898322526694468e-06 2.605838574251678974e+00
1.518019526476001187e-06 2.605498574260118883e+00
1.556607520677748348e-06 2.605151602398521060e+00
1.595668020930945389e-06 2.604797570382173078e+00
1.635206813023977672e-06 2.604436389900736337e+00
1.675229753591618530e-06 2.604067972633322459e+00
1.715742770982536487e-06 2.603692230262619756e+00
1.756751866137424899e-06 2.603309074488003194e+00
1.798263113477883416e-06 2.602918417037564769e+00
1.840282661806184231e-06 2.602520169679005235e+00
1.882816735216056118e-06 2.602114244229313034e+00
1.925871634014620501e-06 2.601700552563184665e+00
1.969453735655616146e-06 2.601279006620113687e+00
2.013569495684052444e-06 2.600849518410100369e+00
2.058225448692428715e-06 2.600412000017920722e+00
2.103428209288662685e-06 2.599966363605903386e+00
2.149184473075871287e-06 2.599512521415165534e+00
2.195501017644147562e-06 2.599050385765256710e+00
2.242384703574484433e-06 2.598579869052167979e+00
2.289842475454988512e-06 2.598100883744661083e+00
2.337881362909539782e-06 2.597613342378886081e+00
2.386508481639044532e-06 2.597117157551241728e+00
2.435731034475441240e-06 2.596612241909457275e+00
2.485556312448610135e-06 2.596098508141862826e+00
2.500000000000000205e-06 2.595949103522816603e+00
2.550000000000000149e-06 2.595430255925772922e+00
2.601027397260274086e-06 2.594898190497590740e+00
2.653103302683430195e-06 2.594352616433690084e+00
2.706249260957747346e-06 2.593793238797612588e+00
2.760487259470577758e-06 2.593219758517870233e+00
2.815839737404904453e-06 2.592631872382243685e+00
2.872329595022813461e-06 2.592029273029023084e+00
2.929980203139720392e-06 2.591411648934699663e+00
2.988815412793276086e-06 2.590778684397566423e+00
