# V_anode_V I_total_Apercm I_total_Apercm
0.000000000000000000e+00 2.407500081361737929e-39 2.407500081361737929e-39
-1.000000000000000056e-01 -2.667533152023448264e-07 -2.667533152023448264e-07
-2.000000000000000111e-01 -3.009821825228876922e-07 -3.009821825228876922e-07
-3.000000000000000444e-01 -3.279518298599750672e-07 -3.279518298599750672e-07
-4.000000000000000222e-01 -3.533568646813082928e-07 -3.533568646813082928e-07
-5.000000000000000000e-01 -3.775865094163950148e-07 -3.775865094163950148e-07
-6.000000000000000888e-01 -4.008363822039389972e-07 -4.008363822039389972e-07
-7.000000000000000666e-01 -4.232509945630915560e-07 -4.232509945630915560e-07
-8.000000000000000444e-01 -4.449410730676256154e-07 -4.449410730676256154e-07
-9.000000000000000222e-01 -4.659922341470428648e-07 -4.659922341470428648e-07
-1.000000000000000000e+00 -4.864696077272818561e-07 -4.864696077272818561e-07
-1.100000000000000089e+00 -5.064190166934195867e-07 -5.064190166934195867e-07
-1.200000000000000178e+00 -5.258637116611112140e-07 -5.258637116611112140e-07
-1.300000000000000044e+00 -5.447923860790734600e-07 -5.447923860790734600e-07
-1.400000000000000133e+00 -5.631237417510583909e-07 -5.631237417510583909e-07
-1.500000000000000000e+00 -5.805939602916843762e-07 -5.805939602916843762e-07
-1.600000000000000089e+00 -5.964554992063708557e-07 -5.964554992063708557e-07
-1.700000000000000178e+00 -6.098333969279712724e-07 -6.098333969279712724e-07
-1.800000000000000044e+00 -6.208735570996836672e-07 -6.208735570996836672e-07
-1.900000000000000133e+00 -6.285622287384566580e-07 -6.285622287384566580e-07
-2.000000000000000000e+00 -6.348003478997593003e-07 -6.348003478997593003e-07
