# V_anode_V I_anode_Apercm J_anode_Acm2
0.000000000000000000e+00 6.374653901483439691e-40 6.374653901483439407e-36
-1.000000000000000056e-01 -9.166277717943625697e-08 -9.166277717943625142e-04
-2.000000000000000111e-01 -1.028938948615795940e-07 -1.028938948615795799e-03
-3.000000000000000444e-01 -1.115758420901450863e-07 -1.115758420901450743e-03
-4.000000000000000222e-01 -1.196763674668673554e-07 -1.196763674668673569e-03
-5.000000000000000000e-01 -1.273362222417264552e-07 -1.273362222417264399e-03
-6.000000000000000888e-01 -1.346278886373432148e-07 -1.346278886373432132e-03
-7.000000000000000666e-01 -1.416049628119713659e-07 -1.416049628119713530e-03
-8.000000000000000444e-01 -1.483083996321294373e-07 -1.483083996321294404e-03
-9.000000000000000222e-01 -1.547695708525404125e-07 -1.547695708525404119e-03
-1.000000000000000000e+00 -1.610116773689794954e-07 -1.610116773689794934e-03
-1.100000000000000089e+00 -1.670495440893677634e-07 -1.670495440893677609e-03
-1.200000000000000178e+00 -1.728868886503431310e-07 -1.728868886503431151e-03
-1.300000000000000044e+00 -1.785076751599552751e-07 -1.785076751599552584e-03
-1.400000000000000133e+00 -1.838484086745573099e-07 -1.838484086745573003e-03
-1.500000000000000000e+00 -1.886891795630682128e-07 -1.886891795630682130e-03
-1.600000000000000089e+00 -1.923342217407706932e-07 -1.923342217407706832e-03
-1.700000000000000178e+00 -1.946607155371396936e-07 -1.946607155371396893e-03
-1.800000000000000044e+00 -1.965670206151185645e-07 -1.965670206151185623e-03
-1.900000000000000133e+00 -1.983026846092557285e-07 -1.983026846092557274e-03
-2.000000000000000000e+00 -1.999269332093249586e-07 -1.999269332093249300e-03
