# V_anode_V I_anode_Apercm J_anode_Acm2
0.000000000000000000e+00 3.444325482137349477e-38 3.444325482137349222e-34
-1.000000000000000056e-01 -7.103393239455271288e-07 -7.103393239455271096e-03
-2.000000000000000111e-01 -7.872847208406911208e-07 -7.872847208406910310e-03
-3.000000000000000444e-01 -8.456308618896935853e-07 -8.456308618896934623e-03
-4.000000000000000222e-01 -9.002714489045407263e-07 -9.002714489045406804e-03
-5.000000000000000000e-01 -9.520669545227807311e-07 -9.520669545227806313e-03
-6.000000000000000888e-01 -1.001434750911398465e-06 -1.001434750911398344e-02
-7.000000000000000666e-01 -1.048693952219308998e-06 -1.048693952219308979e-02
-8.000000000000000444e-01 -1.094098857386201727e-06 -1.094098857386201738e-02
-9.000000000000000222e-01 -1.137857146876677958e-06 -1.137857146876677938e-02
-1.000000000000000000e+00 -1.180139532652291154e-06 -1.180139532652291039e-02
-1.100000000000000089e+00 -1.221089440337317601e-06 -1.221089440337317505e-02
-1.200000000000000178e+00 -1.260828694491652620e-06 -1.260828694491652503e-02
-1.300000000000000044e+00 -1.299461122189712098e-06 -1.299461122189712013e-02
-1.400000000000000133e+00 -1.337076749247540844e-06 -1.337076749247540809e-02
-1.500000000000000000e+00 -1.373754190681814441e-06 -1.373754190681814383e-02
-1.600000000000000089e+00 -1.409562123748315442e-06 -1.409562123748315382e-02
-1.700000000000000178e+00 -1.444561296338141378e-06 -1.444561296338141287e-02
-1.800000000000000044e+00 -1.478805877619001902e-06 -1.478805877619001827e-02
-1.900000000000000133e+00 -1.512344104359599380e-06 -1.512344104359599276e-02
-2.000000000000000000e+00 -1.545219214953251590e-06 -1.545219214953251485e-02
