# V_anode_V I_anode_Apercm J_anode_Acm2
0.000000000000000000e+00 8.665572600969481277e-40 8.665572600969480659e-36
-1.000000000000000056e-01 -1.246044824912063407e-07 -1.246044824912063325e-03
-2.000000000000000111e-01 -1.398718314592808177e-07 -1.398718314592808151e-03
-3.000000000000000444e-01 -1.516738908635431382e-07 -1.516738908635431333e-03
-4.000000000000000222e-01 -1.626855774339540165e-07 -1.626855774339540156e-03
-5.000000000000000000e-01 -1.730982255071267003e-07 -1.730982255071266893e-03
-6.000000000000000888e-01 -1.830103659165946243e-07 -1.830103659165946244e-03
-7.000000000000000666e-01 -1.924948561708058991e-07 -1.924948561708058866e-03
-8.000000000000000444e-01 -2.016073694678138898e-07 -2.016073694678138968e-03
-9.000000000000000222e-01 -2.103905519218035434e-07 -2.103905519218035418e-03
-1.000000000000000000e+00 -2.188759423503882104e-07 -2.188759423503881894e-03
-1.100000000000000089e+00 -2.270836934266194152e-07 -2.270836934266193957e-03
-1.200000000000000178e+00 -2.350188588288124308e-07 -2.350188588288124394e-03
-1.300000000000000044e+00 -2.426596396972858249e-07 -2.426596396972858279e-03
-1.400000000000000133e+00 -2.499197223195666858e-07 -2.499197223195666687e-03
-1.500000000000000000e+00 -2.565001660938222601e-07 -2.565001660938222468e-03
-1.600000000000000089e+00 -2.614551610021931099e-07 -2.614551610021931087e-03
-1.700000000000000178e+00 -2.646177485261133195e-07 -2.646177485261132917e-03
-1.800000000000000044e+00 -2.672091402013505038e-07 -2.672091402013505087e-03
-1.900000000000000133e+00 -2.695685659183426728e-07 -2.695685659183426775e-03
-2.000000000000000000e+00 -2.717765358541924333e-07 -2.717765358541924040e-03
